"","nobs","NAs","Minimum","Maximum","1. Quartile","3. Quartile","Mean","Median","Sum","SE Mean","LCL Mean","UCL Mean","Variance","Stdev"
"X10353",16,0,0.000317,0.000709,0.000382,0.000535,0.000477,0.000491,0.00763,2.8e-05,0.000416,0.000537,0,0.000113
"X10358",16,0,0.000228,0.000781,0.000334,0.000522,0.000442,0.000381,0.00708,4.2e-05,0.000353,0.000532,0,0.000169
"X10362",16,0,0.000142,0.001954,0.000373,0.000878,0.000713,0.000555,0.011407,0.000127,0.000443,0.000983,0,0.000506
"X10365",16,0,0.000265,0.000927,0.000523,7e-04,0.000608,0.000568,0.009732,4e-05,0.000524,0.000693,0,0.000159
"X10376",16,0,0.000191,0.000814,0.000482,0.000646,0.000541,0.000521,0.008655,3.8e-05,0.00046,0.000622,0,0.000152
"X10403",16,0,0.000209,0.000805,0.000313,0.000556,0.000445,0.000394,0.007128,4.2e-05,0.000355,0.000536,0,0.00017
"X10427",16,0,0.000353,0.000626,0.000421,0.000528,0.000483,0.000483,0.007733,2e-05,0.000442,0.000525,0,7.8e-05
"X10440",16,0,0.00031,0.000927,0.000457,0.000761,0.000612,0.000578,0.009785,4.8e-05,0.00051,0.000713,0,0.000191
"X10455",16,0,0.000292,0.000896,0.000532,0.000701,0.000612,0.000574,0.00979,3.8e-05,0.000531,0.000693,0,0.000152
"X10461",16,0,0.000206,0.000756,0.000434,0.000553,0.00049,0.000493,0.007847,3.1e-05,0.000425,0.000556,0,0.000123
"X10466",16,0,0.000237,0.000805,0.000383,0.000523,0.000457,0.000453,0.007305,3.6e-05,0.000381,0.000532,0,0.000142
"X10484",16,0,0.00034,0.000633,0.000376,0.000545,0.000459,0.000431,0.00734,2.3e-05,0.000409,0.000509,0,9.4e-05
"X10487",16,0,3e-06,0.002012,0.000627,0.001114,0.000908,0.00074,0.014528,0.000124,0.000645,0.001171,0,0.000494
"X10525",16,0,0.000311,0.001096,0.000388,0.000625,0.000542,0.000495,0.00867,5.1e-05,0.000433,0.000651,0,0.000204
"X10532",16,0,0.000265,0.001088,0.000455,0.000636,0.000571,0.00059,0.009138,4.8e-05,0.000468,0.000674,0,0.000194
"X10537",16,0,0.000315,0.000708,0.000387,0.00054,0.000473,0.000441,0.007575,2.9e-05,0.000411,0.000536,0,0.000117
"X10577",16,0,3e-04,0.000864,0.000511,0.000628,0.000578,0.000564,0.009242,3.4e-05,0.000505,0.00065,0,0.000135
