"","nobs","NAs","Minimum","Maximum","1. Quartile","3. Quartile","Mean","Median","Sum","SE Mean","LCL Mean","UCL Mean","Variance","Stdev"
"X14127",16,0,0.000376,0.00085,0.000453,0.000664,0.000576,0.000536,0.009208,3.8e-05,0.000495,0.000656,0,0.000151
"X14146",16,0,0.000102,0.000548,0.000152,0.000294,0.000241,0.000199,0.003858,3.2e-05,0.000173,0.000309,0,0.000128
"X14169",16,0,0.000141,0.001059,0.000308,0.00079,0.000526,0.000458,0.008411,7.4e-05,0.000369,0.000683,0,0.000294
"X14176",16,0,0.000143,0.000347,0.000195,0.000296,0.000243,0.000234,0.00389,1.6e-05,0.00021,0.000276,0,6.3e-05
"X14177",16,0,0.000352,0.000987,0.000571,0.000825,0.000673,0.000644,0.010776,4.5e-05,0.000577,0.00077,0,0.000182
"X14184",16,0,4e-06,0.007946,8e-06,2.5e-05,0.000536,1.2e-05,0.008571,0.000494,-0.000518,0.00159,4e-06,0.001978
"X14185",16,0,0.000364,0.000695,0.000436,0.000572,0.000506,0.000517,0.008089,2.5e-05,0.000453,0.000558,0,9.8e-05
"X14193",16,0,0.000406,0.002204,0.000542,0.000883,0.000801,0.000692,0.012812,0.000109,0.000569,0.001033,0,0.000436
"X14199",16,0,0.000294,0.00218,0.000409,0.000585,0.000621,0.000478,0.009932,0.000114,0.000377,0.000864,0,0.000457
"X14212",16,0,0.000143,0.001344,0.000186,0.000368,0.000425,0.000263,0.006794,1e-04,0.000211,0.000639,0,0.000402
"X14213",16,0,0.000495,0.001939,0.000732,0.001001,0.000913,0.000789,0.014612,9.3e-05,0.000715,0.001111,0,0.000372
"X14214",16,0,0.000334,0.000966,0.000424,0.000556,0.000509,0.000452,0.008141,4e-05,0.000423,0.000595,0,0.000162
"X14238",16,0,4.8e-05,0.000718,0.000187,0.00061,0.000399,0.000404,0.006376,5.6e-05,0.000279,0.000518,0,0.000224
"X14241",16,0,0.00013,0.000569,0.000199,0.000432,0.000332,0.000351,0.00531,3.4e-05,0.00026,0.000404,0,0.000134
"X14250",16,0,0.000136,0.000728,0.000286,0.000522,0.000399,0.000371,0.006383,3.9e-05,0.000315,0.000483,0,0.000157
"X14259",16,0,0.000235,0.000542,0.000303,0.000384,0.000355,0.000352,0.005685,2.2e-05,0.000309,0.000401,0,8.6e-05
"X14261",16,0,0.000227,0.000806,0.000391,0.00058,0.000496,0.000517,0.007934,3.7e-05,0.000416,0.000576,0,0.000149
"X14263",16,0,9.1e-05,0.002224,0.000213,0.000757,0.000622,0.000252,0.009945,0.000166,0.000267,0.000976,0,0.000666
"X14265",16,0,0.000376,0.002557,0.000533,0.001125,0.001014,0.000758,0.016229,0.000168,0.000655,0.001373,0,0.000674
"X14308",16,0,0.000289,0.000693,0.000385,0.000529,0.000456,0.000432,0.007292,2.8e-05,0.000396,0.000516,0,0.000113
"X14325",16,0,4.5e-05,0.001052,9.9e-05,0.000386,0.000321,0.000271,0.005128,7e-05,0.000172,0.000469,0,0.000279
"X14379",16,0,0.000168,0.000665,0.000338,0.000534,0.000426,0.000387,0.006824,3.3e-05,0.000356,0.000497,0,0.000132
"X14382",16,0,0.000202,0.000638,0.000321,0.000468,0.000396,0.000368,0.006338,2.9e-05,0.000334,0.000458,0,0.000117
"X14383",16,0,0.000234,0.001761,0.000388,0.000868,0.000701,0.000601,0.01121,0.000112,0.000463,0.000939,0,0.000447
"X14395",16,0,7.9e-05,0.000692,0.000178,0.000333,0.000269,0.000221,0.004299,4.2e-05,0.00018,0.000357,0,0.000167
"X14397",16,0,2.4e-05,0.000719,0.000395,0.00056,0.000465,0.000491,0.007437,4.3e-05,0.000372,0.000557,0,0.000173
"X14407",16,0,0.000231,0.000491,0.000294,0.000385,0.000337,0.000323,0.005399,1.7e-05,3e-04,0.000375,0,7e-05
"X14416",16,0,9e-06,0.001528,0.000247,0.000689,0.000522,0.000515,0.008355,9.5e-05,0.000319,0.000725,0,0.000381
"X14419",16,0,0.00025,0.000531,0.000354,0.000409,0.000388,0.000391,0.006202,1.8e-05,0.000348,0.000427,0,7.4e-05
"X14442",16,0,0.000286,0.000519,0.000354,0.00043,0.000398,0.00041,0.006363,1.6e-05,0.000364,0.000431,0,6.3e-05
"X14467",16,0,0.000184,0.000544,0.000296,0.000417,0.000353,0.000347,0.005649,2.4e-05,0.000302,0.000404,0,9.6e-05
"X14475",16,0,0.000272,0.001647,0.000436,0.00072,0.000694,0.00053,0.011107,0.000106,0.000469,0.00092,0,0.000423
"X14477",16,0,0.000168,0.00228,0.000366,0.001192,0.000849,0.000752,0.013577,0.000151,0.000526,0.001171,0,0.000605
"X14482",16,0,0.000333,0.00062,0.000389,0.000515,0.000447,0.00044,0.007155,2.1e-05,0.000403,0.000492,0,8.3e-05
"X14484",16,0,0.000301,0.000646,0.00035,0.000432,0.000414,0.000392,0.006627,2.5e-05,0.000361,0.000467,0,1e-04
"X14494",16,0,0.000186,0.000623,0.000342,0.00042,0.000384,0.000389,0.00614,2.7e-05,0.000327,0.000441,0,0.000107
"X14498",16,0,6e-06,0.001247,0.000262,0.000908,0.000583,0.000626,0.009334,9.2e-05,0.000387,0.00078,0,0.000369
"X14501",16,0,0.000216,0.000851,0.000457,0.000698,0.000559,0.000562,0.00894,4.6e-05,0.000462,0.000656,0,0.000182
"X14508",16,0,0.000401,0.000701,0.000459,0.000555,0.000524,0.000507,0.008391,2.1e-05,0.000479,0.00057,0,8.5e-05
"X14523",16,0,0.000259,0.000444,0.000311,0.00035,0.000338,0.000331,0.005414,1.3e-05,0.00031,0.000367,0,5.3e-05
