"","nobs","NAs","Minimum","Maximum","1. Quartile","3. Quartile","Mean","Median","Sum","SE Mean","LCL Mean","UCL Mean","Variance","Stdev"
"X1413",16,0,0.000287,0.000656,0.000404,0.000536,0.000472,0.000444,0.007547,2.6e-05,0.000417,0.000527,0,0.000103
"X1415",16,0,0.000381,0.000692,0.00045,0.000504,0.000492,0.000481,0.007873,1.9e-05,0.000452,0.000532,0,7.5e-05
"X1425",16,0,7.6e-05,0.000673,0.000213,0.00028,0.000262,0.000243,0.004189,3.1e-05,0.000196,0.000327,0,0.000123
"X1444",16,0,0.000317,0.00101,0.000428,0.000622,0.000561,0.000518,0.008972,5e-05,0.000455,0.000667,0,0.000199
"X1445",16,0,0.000253,0.001082,0.000398,0.000569,0.000519,0.000453,0.008309,5.2e-05,0.000408,0.000631,0,0.000209
"X1453",16,0,0.000226,0.001157,0.000363,0.000809,0.000585,0.000611,0.009366,6.9e-05,0.000439,0.000732,0,0.000275
"X1475",16,0,0.000301,8e-04,0.000379,0.000571,0.000487,0.000483,0.007789,3.3e-05,0.000417,0.000556,0,0.00013
"X1484",16,0,0.000299,0.000902,0.000385,0.000652,0.000557,0.00059,0.008919,5.1e-05,0.000449,0.000666,0,0.000204
"X1506",16,0,0.000179,0.001131,0.000245,0.000598,0.000461,0.000368,0.007373,6.8e-05,0.000316,0.000605,0,0.000271
"X1510",16,0,0.000376,0.000756,0.000436,0.000546,0.000513,0.000523,0.008214,2.3e-05,0.000464,0.000563,0,9.2e-05
"X1511",16,0,0.000262,0.00212,0.000431,0.000631,0.000674,0.000499,0.010789,0.000136,0.000385,0.000964,0,0.000543
"X1513",16,0,0.000294,0.000568,0.000363,0.000502,0.000427,0.000411,0.006832,2.1e-05,0.000382,0.000472,0,8.4e-05
"X1514",16,0,0.000328,0.000656,0.000436,0.000609,0.000515,0.000523,0.008245,2.6e-05,0.000459,0.000571,0,0.000105
"X1534",16,0,9.6e-05,0.001329,0.000162,0.000378,0.000355,0.000288,0.005675,7.8e-05,0.000189,0.00052,0,0.000311
"X1557",16,0,0.000286,0.000605,0.000408,0.000519,0.000451,0.000446,0.007218,2.3e-05,0.000402,0.000501,0,9.3e-05
"X1595",16,0,0.000208,0.000685,0.000275,0.000395,0.00036,0.000331,0.005754,3.2e-05,0.000291,0.000428,0,0.000129
"X1601",16,0,0.000215,0.000476,0.000244,0.000371,0.000321,0.000316,0.005132,2.1e-05,0.000275,0.000366,0,8.6e-05
"X1607",16,0,0.000176,0.000695,0.000292,0.000412,0.000359,0.000336,0.005744,3e-05,0.000294,0.000424,0,0.000122
"X1618",16,0,0.000318,0.000492,0.000361,0.000417,0.000391,0.000391,0.006252,1e-05,0.000369,0.000413,0,4.2e-05
"X1649",16,0,0.00018,0.000676,0.000317,0.000392,0.000375,0.000354,0.005997,3.1e-05,0.000309,0.000441,0,0.000124
"X1658",16,0,0.000164,0.000619,0.000319,0.000567,0.000414,0.000354,0.006624,3.7e-05,0.000335,0.000493,0,0.000148
"X1694",16,0,0.000212,0.000902,0.000317,0.000571,0.000472,0.000494,0.007556,4.7e-05,0.000372,0.000573,0,0.000189
"X1696",16,0,0.000283,0.000558,0.00032,0.000468,0.000399,0.000397,0.006383,2.4e-05,0.000348,0.00045,0,9.5e-05
"X1739",16,0,0.000175,0.000729,0.000243,0.000429,0.000355,0.000317,0.005678,4e-05,0.00027,0.000439,0,0.000158
"X1741",16,0,0.000265,0.000825,0.000312,0.00051,0.000422,0.000385,0.006752,3.7e-05,0.000344,5e-04,0,0.000146
"X1774",16,0,0.000268,0.000492,0.000359,0.000413,0.000379,0.000384,0.006064,1.3e-05,0.000351,0.000407,0,5.2e-05
"X1775",16,0,0.000251,0.000581,0.00034,0.000439,0.000402,0.00041,0.006434,2.1e-05,0.000357,0.000447,0,8.5e-05
"X1776",16,0,0.000261,0.000547,0.000315,0.00044,0.000384,0.000378,0.00615,2.2e-05,0.000338,0.000431,0,8.7e-05
"X1785",16,0,0.000314,0.000803,0.000353,0.000464,0.00045,0.000413,0.007205,3.5e-05,0.000376,0.000524,0,0.000139
"X1800",16,0,0.000169,0.00038,0.000227,0.000282,0.000259,0.000253,0.004147,1.5e-05,0.000227,0.000292,0,6.1e-05
"X1812",16,0,0.000246,0.000576,0.000325,0.000463,0.000405,0.000394,0.006486,2.5e-05,0.000351,0.000459,0,0.000102
"X1813",16,0,0.00015,0.000743,0.000207,0.000383,0.000309,0.000242,0.004946,4.1e-05,0.000222,0.000396,0,0.000164
"X1832",16,0,0.000253,0.000691,0.00031,0.000348,0.00035,0.00033,0.005601,2.4e-05,0.000298,0.000402,0,9.7e-05
"X1836",16,0,0.000287,0.000807,0.000431,0.000514,0.000482,0.000474,0.007717,3.1e-05,0.000417,0.000548,0,0.000122
"X1837",16,0,0.000261,0.000588,0.000332,0.000422,0.000391,0.000355,0.00626,2.5e-05,0.000338,0.000444,0,1e-04
"X1847",16,0,0.000234,0.000721,0.000299,0.000399,0.000367,0.000364,0.00587,2.8e-05,0.000307,0.000426,0,0.000111
"X1862",16,0,0.000118,0.00148,0.000205,0.000654,0.000458,0.000288,0.007327,9.2e-05,0.000262,0.000654,0,0.000368
"X1868",16,0,0.000289,0.001153,0.000354,0.000434,0.000439,0.000377,0.00702,5.1e-05,0.000331,0.000547,0,0.000203
"X1870",16,0,0.000209,0.00061,0.00028,0.000472,0.000367,0.000312,0.005878,3.3e-05,0.000297,0.000438,0,0.000132
"X1882",16,0,0.000238,0.000562,0.000328,0.000469,0.000405,0.000415,0.006474,2.4e-05,0.000353,0.000456,0,9.7e-05
"X1892",16,0,0.000219,0.00103,0.000271,0.000501,0.000411,0.000336,0.00657,5.2e-05,0.000301,0.000521,0,0.000206
"X1893",16,0,0.000345,0.000533,0.000385,0.000473,0.000434,0.00043,0.00694,1.4e-05,0.000403,0.000465,0,5.8e-05
"X1896",16,0,0.000282,0.000817,0.000534,0.000633,0.000567,0.000573,0.009073,3.2e-05,5e-04,0.000634,0,0.000127
"X1898",16,0,0.000295,0.000543,0.00036,0.000435,0.000401,0.000399,0.006414,1.6e-05,0.000368,0.000434,0,6.2e-05
