"","RSD"
"X12600",0.097794
"X12606",0.070652
"X12611",0.155746
"X12622",0.033157
"X12650",0.058217
"X12676",0.200725
"X12689",0.116338
"X12700",0.02023
"X12704",0.019385
"X12705",0.045011
"X12707",0.054421
"X12733",0.041352
"X12768",0.105735
"X12772",0.095111
"X12780",0.026064
"X12801",0.065321
"X12812",0.038628
"X12856",0.048526
"X12918",0.036499
"X12937",0.131774
"X12943",0.124448
"X12946",0.093223
"X12997",0.090924
"X13003",0.080823
"X13025",0.042814
"X13038",0.067648
"X13067",0.063044
"X13119",0.032708
"X13133",0.092151
"X13137",0.096199
"X13138",0.094381
"X13185",0.184584
"X13188",0.221071
"X13197",0.15031
"X13213",0.003529
"X13229",0.032677
"X13266",0.072827
"X13276",0.048476
"X13321",0.096511
"X13327",0.03694
"X13386",0.008584
"X13397",0.12184
"X13413",0.059019
"X13419",0.019213
"X13446",0.108446
"X13467",0.064058
"X13501",0.079748
"X13551",0.03694
"X13556",0.137295
"X13576",0.167702
"X13616",0.110273
"X13669",0.019541
"X13726",0.274983
"X13765",0.068258
"X13786",0.034398
"X13804",0.290815
"X13854",0.126269
"X13883",0.312016
"X13892",0.072008
"X13901",0.035353
"X13968",0.173333
"X13987",0.045436
"X14025",0.109353
"X14102",0.088297
"X14107",0.010213
"X14126",0.17541
"X14148",0.068119
"X14162",0.253719
"X14163",0.008617
"X14209",0.0554
"X14240",0.096723
"X14265",0.009274
"X14267",0.132025
"X14348",0.027509
"X14397",0.009439
"X14485",0.088371
"X14574",0.174756
"X14757",0.02253
"X14776",0.07218
"X14820",0.004841
"X14870",0.076177
"X14886",0.099482
"X14887",0.053033
"X14888",0.017855
"X14914",0.006725
"X14941",0.14131
"X14942",0.048886
"X14955",0.128963
"X14969",0.09913
"X15143",0.051321
"X15159",0.002089
"X15160",0.10893
"X15164",0.033466
"X15324",0.045457
"X15351",0.095732
"X15369",0.058493
"X15373",0.040833
"X15408",0.058181
"X15469",0.052273
"X15515",0.031609
"X15530",0.004196
"X15574",0.023624
"X15630",0.099359
"X15757",0.070936
"X15924",0.042015
"X15950",0.086174
"X15972",0.055287
"X16059",0.061417
"X16074",0.091797
"X16191",0.170321
"X16234",0.166165
"X16247",0.122497
"X16248",0.137625
"X16323",0.025131
"X16333",0.023179
"X16342",0.012512
"X16351",0.163114
"X16363",0.035536
"X16367",0.082043
"X16404",0.124723
"X16426",0.126379
"X16520",0.016075
"X16567",0.028818
"X16581",0.130299
"X16626",0.006492
"X16717",0.170749
"X16718",0.139528
"X16760",0.041205
"X16783",0.121087
"X16863",0.036828
"X16878",0.207408
"X16889",0.08258
"X16950",0.062806
"X16972",0.048872
"X16974",0.08426
"X16989",0.008468
"X17001",0.159569
"X17136",0.065423
"X17162",0.126767
"X17248",0.02638
"X17302",0.048883
"X17350",0.052292
"X17351",0.012165
"X17400",0.130417
"X17432",0.040367
"X17503",0.078817
"X17554",0.002931
