"","AUC"
"X10919",0.53515625
"X10920",0.51953125
"X10953",0.55078125
"X10959",0.5703125
"X10965",0.515625
"X10995",0.5078125
"X10996",0.640625
"X10997",0.5703125
"X11004",0.58203125
"X11007",0.53125
"X11021",0.67578125
"X11052",0.5234375
"X11083",0.5859375
"X11096",0.6328125
"X11145",0.515625
"X11148",0.51171875
"X11161",0.66015625
"X11166",0.55078125
"X11168",0.625
"X11172",0.66015625
"X11179",0.515625
"X11212",0.53125
"X11233",0.62890625
"X11242",0.64453125
"X11243",0.56640625
"X11245",0.6015625
"X11261",0.73046875
"X11301",0.69140625
"X11303",0.5546875
"X11307",0.609375
"X11342",0.6171875
"X11343",0.50390625
"X11346",0.5703125
"X11348",0.66015625
"X11351",0.55078125
"X11358",0.625
"X11364",0.52734375
"X11381",0.6015625
"X11384",0.6171875
"X11409",0.54296875
"X11419",0.52734375
"X11434",0.6328125
"X11440",0.53125
"X11451",0.73046875
"X11455",0.6484375
"X11460",0.51953125
"X11476",0.8359375
"X11518",0.51953125
"X11519",0.54296875
"X11520",0.62890625
"X11541",0.5234375
"X11548",0.55859375
"X11605",0.52734375
"X11613",0.5234375
"X11707",0.51953125
"X11710",0.6015625
"X11712",0.65625
"X11743",0.51953125
"X11744",0.515625
"X11759",0.52734375
"X11778",0.515625
"X11782",0.60546875
"X11803",0.83203125
"X11843",0.640625
"X11847",0.578125
"X11868",0.56640625
"X11887",0.6171875
"X11895",0.51171875
"X11912",0.640625
"X11919",0.51953125
"X11921",0.7421875
"X11974",0.66015625
"X11982",0.50390625
"X12007",0.5546875
"X12017",0.546875
"X12027",0.61328125
"X12046",0.5625
"X12047",0.58984375
"X12052",0.52734375
"X12081",0.5078125
"X12092",0.546875
"X12093",0.53515625
"X12094",0.5546875
"X12098",0.55078125
"X12099",0.515625
"X12104",0.66796875
"X12106",0.50390625
"X12117",0.5859375
"X12180",0.69921875
"X12238",0.5078125
"X12244",0.6015625
"X12247",0.53125
"X12298",0.546875
"X12355",0.5
"X12410",0.53515625
"X12420",0.55859375
"X12447",0.6328125
"X12469",0.50390625
"X12474",0.5703125
"X12475",0.671875
"X12508",0.6171875
"X12513",0.6484375
"X12523",0.546875
"X12534",0.6015625
"X12536",0.60546875
"X12558",0.609375
"X12590",0.53125
"X12595",0.52734375
"X12600",0.515625
"X12606",0.53125
"X12611",0.54296875
"X12622",0.6171875
"X12650",0.5859375
"X12676",0.55078125
"X12689",0.73828125
"X12700",0.5546875
"X12704",0.5859375
"X12705",0.62109375
"X12707",0.58203125
"X12733",0.53515625
"X12768",0.6875
"X12772",0.59765625
"X12780",0.5859375
"X12801",0.5078125
"X12812",0.69921875
"X12856",0.61328125
"X12918",0.5
"X12937",0.6328125
"X12943",0.50390625
"X12946",0.5078125
"X12997",0.51953125
"X13003",0.59375
"X13025",0.546875
"X13038",0.64453125
"X13067",0.5234375
"X13119",0.56640625
"X13133",0.578125
"X13137",0.64453125
"X13138",0.703125
"X13185",0.80859375
"X13188",0.66796875
"X13197",0.67578125
"X13213",0.578125
"X13229",0.5546875
"X13266",0.53125
"X13276",0.5
"X13321",0.51171875
"X13327",0.5703125
"X13386",0.63671875
"X13397",0.77734375
"X13413",0.73828125
"X13419",0.54296875
"X13446",0.6015625
"X13467",0.6171875
"X13501",0.56640625
"X13551",0.66015625
"X13556",0.52734375
"X13576",0.609375
"X13616",0.51953125
"X13669",0.62109375
