"","AUC"
"X7423",1
"X7442",0.515625
"X7443",0.8203125
"X7452",0.9453125
"X7473",0.96875
"X7482",0.80078125
"X7490",0.5078125
"X7505",0.59765625
"X7543",0.578125
"X7566",0.58984375
"X7573",0.5703125
"X7588",0.6171875
"X7600",0.51953125
"X7603",0.59375
"X7604",0.5546875
"X7627",0.64453125
"X7631",0.65234375
"X7677",0.5234375
"X7696",0.53125
"X7712",0.6015625
"X7725",0.58203125
"X7730",0.5390625
"X7738",0.63671875
"X7759",0.53125
"X7771",0.78125
"X7775",0.890625
"X7795",0.515625
"X7802",0.53515625
"X7807",0.69921875
"X7818",0.79296875
"X7829",0.5234375
"X7830",0.5859375
"X7831",0.5546875
"X7835",0.6484375
"X7836",1
"X7843",0.72265625
"X7878",0.53125
"X7881",0.6328125
"X7882",0.66015625
"X7883",0.62109375
"X7897",0.5390625
"X7906",0.55859375
"X7912",0.65625
"X7914",0.53515625
"X7917",0.75390625
"X7921",0.81640625
"X7938",0.52734375
"X7939",0.52734375
"X7955",0.57421875
"X7961",0.62109375
"X7962",0.6015625
"X7967",0.6015625
"X7986",0.5078125
"X7994",0.515625
"X8003",0.5703125
"X8010",0.5390625
"X8011",0.6484375
"X8014",0.78515625
"X8015",0.5078125
"X8016",0.5390625
"X8047",0.76171875
"X8065",0.5625
"X8067",0.7578125
"X8072",0.66015625
"X8073",1
"X8080",0.50390625
"X8087",0.98828125
"X8107",0.703125
"X8113",0.85546875
"X8114",0.515625
"X8127",0.5
"X8134",0.7421875
"X8149",0.640625
"X8152",0.62109375
"X8154",0.87109375
"X8160",0.73828125
"X8177",0.71875
"X8185",0.6015625
"X8186",0.5078125
"X8192",0.59765625
"X8213",0.65234375
"X8230",0.65625
"X8233",0.6484375
"X8253",0.69921875
"X8275",0.80859375
"X8276",0.7734375
"X8294",0.57421875
"X8295",0.62109375
"X8298",0.90625
"X8341",0.66796875
"X8362",0.65234375
"X8363",0.58203125
"X8370",0.55078125
"X8401",0.51171875
"X8403",0.67578125
"X8405",0.56640625
"X8411",0.6796875
"X8413",0.765625
"X8416",0.54296875
"X8417",0.5625
"X8418",0.50390625
"X8435",0.51953125
"X8443",0.5
"X8450",0.515625
"X8517",0.66015625
"X8523",0.57421875
"X8529",0.57421875
"X8534",0.59765625
"X8539",0.609375
"X8542",0.55078125
"X8562",0.71484375
"X8569",0.99609375
"X8572",0.578125
"X8574",0.55859375
"X8603",0.67578125
"X8616",0.62109375
"X8636",0.52734375
"X8640",0.6953125
"X8675",0.89453125
"X8715",0.55859375
"X8719",0.5
"X8726",0.59765625
"X8729",0.69921875
"X8732",0.73046875
"X8735",0.7421875
"X8752",0.77734375
"X8755",0.70703125
"X8756",0.640625
"X8816",0.50390625
"X8822",0.8515625
"X8823",0.89453125
"X8826",0.58984375
"X8835",0.90234375
"X8842",0.7734375
"X8852",0.63671875
"X8856",0.69140625
"X8865",0.578125
"X8866",0.875
"X8894",0.734375
"X8904",0.78125
"X8905",0.5625
"X8936",0.734375
